Italiano,Romanji,Katana,Libro,Lezione,Tag,Altro...
"Questo è il vostro ombrello?
No, non è nostro.","Kore wa anatagata no kasa desu ka.
Iie, watashitachi no dewa arimasen.","これはあなたがたのかさですか。
いいえ、わたしたちのではありません。",Ascolto,As1,Frase,Formale
"Tu sei Tomoko?
Sì, io sono Tomoko.","Anata wa Tomoko san desu ka.
Hai, watashi wa Tomoko desu.","あなたはともこさんですか。
はい、わたしはともこです。",Ascolto,As1,Frase,
"Io sono giapponese. Anche tu sei giapponese?
Sì, anch'io sono giapponese.","Watashi wa nihon jin desu. Anata mo nihon jin desu ka.
Hai, watashi mo nihon jin desu.","わたしはにほんじんです。あなたもにほんじんですか。
はい、わたしもにほんじんです。",Ascolto,As1,Frase,
"Mario è italiano?
Sì, è italiano.
Anche Paolo è italiano?
Sì, anche Paolo è italiano.","Mario san wa itaria jin desu ka.
Hai, itaria jin desu.
Paoro san mo itaria jin desu ka.
Hai, Paoro san mo itaria jin desu.","マリオさんはイタリアじんですか。
はい、イタリアじんです。
パオロさんもイタリアじんですか。
はい、パオロさんもイタリアじんです。",Ascolto,As1,Frase,
Questi sono i miei libri,Korera wa watashi no hon desu,これはわたしのほんです,Ascolto,As1,Frase,
"Questa non è una castagna, è una caramella.",Kore wa kuri dewa arimasen. Ame desu.,これはくりではありません。あめです。,Ascolto,As1,Frase,
Quello è un aquilone,Are wa tako desu,あれはたこです,Ascolto,As1,Frase,
Quello è un polipo,Are wa tako desu,あれはたこです,Ascolto,As1,Frase,
"Codesta è una pera giapponese?
No, codesta è una pesca.","Sore wa nashi desu ka.
Iie, sore wa momo desu.","それはなしですか。
いいえ、それはももです。",Ascolto,As1,Frase,
Quella è una montagna,Are wa yama desu,あれはやまです,Ascolto,As1,Frase,
Questa è la nostra palla,Kore wa watashitachi no mari desu,これはわたしたちのほりです,Ascolto,As1,Frase,
"Questa è una formica?
No, questo è un ragno.
Anche questo è un ragno?
No, questa è una formica.","Kore wa ari desu ka.
Iie, kore wa kumo desu.
Kore mo kumo desu ka.
Iie, kore wa ari desu.","これはありですか。
いいえ、これはくもです。
これもくもですか。
いいえ、これはありです。",Ascolto,As1,Frase,
Quelli sono dei cervi,Arera wa shika desu,あれらはしかです,Ascolto,As1,Frase,
Questa non è una mosca. Questa è un'ape.,Kore wa hae dewa arimasen. Kore wa hachi desu.,これははえではありません。これははちです。,Ascolto,As1,Frase,
"Questo che cos'è?
Codesto è un fungo.","Kore wa nan desu ka.
Sore wa kinoko desu.","これはなんですか。
それはきのこです。",Ascolto,As1,Frase,
"Quello è un piccione?
No, quello è un corvo.","Are wa hato desu ka.
Iie, are wa karasu desu.","あれははとですか。
いいえ、あれはからすです。",Ascolto,As1,Frase,
"Questo è l'orologio di Kaori?
Sì, è di Kaori.","Kore wa Kaori san no tokei desu ka.
Hai, Kaori san no desu.","これはかおりさんのとけいですか。
はい、かおりさんのです。",Ascolto,As1,Frase,
"Codesto è l'armadio di Kaori?
Sì, è di Kaori.
Anche questo è l'armadio di Kaori?
No, questo è il mio armadio.","Sore wa Kaori san no tansu desu ka.
Hai, Kaori san no desu.
Kore mo Kaori san no tansu desu ka.
Iie, kore wa watashi no tansu desu.","それはかおりさんのたんすですか。
はい、かおりさんのです。
これもかおりさんのたんすですか。
いいえ、これはわたしのたんすです。",Ascolto,As1,Frase,
"Questo è il tuo portafoglio?
No, codesto non è mio.
Questi sono i tuoi soldi?
Sì, codesti sono i miei soldi.","Kore wa anata no saifu desu ka.
Iie, sore wa watashi no dewa arimasen.
Kore wa anata no okane desu ka.
Hai, sore wa watashi no okane desu.","これはあなたのさいふですか。
いいえ、それはわたしのではありません。
これはあなたのおかねですか。
はい、それはわたしのおかねです。",Ascolto,As1,Frase,
Questo,Kono,この,Speciale,S8,Aggettivo,Aggettivo dimostrativo
Codesto,Sono,その,Speciale,S8,Aggettivo,Aggettivo dimostrativo
Quello,Ano,あの,Speciale,S8,Aggettivo,Aggettivo dimostrativo
Interessante,Omoshiroi,おましろい,Speciale,S8,Aggettivo,
Questo è un libro interessante,Kore wa omoshiroi hon desu,これはおもしろいです,Speciale,S8,Frase,
Questo libro è interessante,Kono hon wa omoshiroi desu,このほんはおもしろいです,Speciale,S8,Frase,
Altro,Takai,たかい,Speciale,S8,Aggettivo,
Giovane,Wakai,わかい,Speciale,S8,Aggettivo,
Grande,Ookii,おおきい,Speciale,S8,Aggettivo,
Bello,Utsukushii,うつくしい,Speciale,S8,Aggettivo,
Questo albero è alto,Kono ki wa takai desu,このきはたかいです,Speciale,S8,Frase,
Questo ombrello è grande,Kono kasa wa ookii desu,このかさはおおきいです,Speciale,S8,Frase,
Codesto fiore è bello,Sono hana wa utsukushii desu,そのはなはうつくしいです,Speciale,S8,Frase,
"Codesto gatto è giovane?
Sì, codesto gatto è giovane.","Sono neko wa wakai desu ka.
Hai, sono neko wa wakai desu.","そのねこはわかいですか。
はい、そのねこはわかいです。",Speciale,S8,Frase,
Quella nave è grande,Ano fune wa ookii desu,あのふねはおおきいです,Speciale,S8,Frase,
Questi,Korerano,これらの,Speciale,S8,Aggettivo,Aggettivo dimostrativo
Codesti,Sorerano,それらの,Speciale,S8,Aggettivo,Aggettivo dimostrativo
Quelli,Arerano,あれらの,Speciale,S8,Aggettivo,Aggettivo dimostrativo
Quegli alberi sono alti,Korerano ki wa takai desu,これらのきはたかいです,Speciale,S8,Frase,
Quegli ombrelli sono grandi,Korerano kasa wa ookii desu,これらのかさはおおきいです,Speciale,S8,Frase,
Codesti fiori sono belli,Sorerano hana wa utsukushii desu,それらのはなはうつくしいです,Speciale,S8,Frase,
"Codesti gatti sono giovani?
Sì, codesti gatti sono giovani.","Sorerano neko wa wakai desu ka.
Hai, sorerano neko wa wakai desu","それらのねこはわかいですか。
はい、それらのねこはわかいです。",Speciale,S8,Frase,
Quelle navi sono grandi,Arerano fune wa ookii desu,あれらのふねはおおきいです,Speciale,S8,Frase,
Questo libro è mio,Kono hon wa watashi no desu,このほんはわたしのです,Speciale,S8,Frase,
Quei libri sono miei,Korerano hon wa watashi no desu,これらのほんわたしのです,Speciale,S8,Frase,
"Codesto gatto è tuo?
Sì, è mio.","Sono neko wa anata no desu ka.
Hai, watashi no desu.","そのねこはあなたのですか。
はい、わたしのです。",Speciale,S8,Frase,
"Quella casa è vostra?
Sì, quella casa è nostra.","Ano ie wa anatatachi no desu ka.
Hai, ano ie wa watashitachi no desu.","あのいえはあなたたちのですか。
はい、あのいえはわたしたちのです。",Speciale,S8,Frase,
Questo libro è di Kaori,Kono hon wa Kaori san no desu,このほんはかおりさんのです,Speciale,S8,Frase,
Codesto ombrello è di Akira,Sono kasa wa Akira san no desu,そのかさはあきらさんのです,Speciale,S8,Frase,
Quella casa è di Midori,Ano ie wa Midori san no desu,あのいえはみどりさんのです,Speciale,S8,Frase,
Lui è Hiro,Kore wa Hiro san desu,これはひろさんです,Speciale,S8,Frase,
Lei è Aki,Kanojo wa Aki san desu,かのじょはあきさんです,Speciale,S8,Frase,
Persona,Kata,かた,Speciale,S8,Soggetto,Formale
Signore/a,Kata,かた,Speciale,S8,Soggetto,Formale
Uomo,Otoko,おとこ,Speciale,S8,Soggetto,Formale
Donna,Onna,おんな,Speciale,S8,Soggetto,Formale
Questa persona è Kaori,Kono kata wa Kaori san desu,このかたはかおりさんです,Speciale,S8,Frase,
Codesta persona è Kaori,Sono kata wa Kaori san desu,そのかたはかおりさんです,Speciale,S8,Frase,
Quella persona è Kaori,Ano kata wa Kaori san desu,あのかたはかおりさんです,Speciale,S8,Frase,
Questa persona chi è?,Kono kata wa donata desu ka,このかたはどなたですか,Speciale,S8,Frase,
Codesta persona chi è?,Sono kata wa donata desu ka,そのかたはどなたですか,Speciale,S8,Frase,
Quella persona chi è?,Ano kata wa donata desu ka,あのかたはどなたですか,Speciale,S8,Frase,
"Codesta persona chi è?
Codesta persona è Akira.","Sono kata wa donata desu ka.
Sono kata wa Akira san desu.","そのかたはどなたですか。
そのかたはあきらさんです。",Speciale,S8,Frase,
"Codesto uomo chi è?
È Hiro.","Sono otoko no kata wa donata desu ka.
Hiro san desu.","そのおとこのかたはどなたですか。
ひろさんです。",Speciale,S8,Frase,
"Quella donna chi è?
È Kaori.","Ano onna no kata wa donata desu ka.
Kaori san desu.","あのおんなのかたはどなたですか。
かおりさんです。",Speciale,S8,Frase,
Persona,Hito,ひと,Speciale,S8,Soggetto,Informale
Signore/a,Hito,ひと,Speciale,S8,Soggetto,Informale
Persone,Katagata,かたがた,Speciale,S8,Soggetto,Formale
Persone,Hitobito,ひとびと,Speciale,S8,Soggetto,Informale
Codeste persone chi sono?,Sono katagata wa donata desu ka,そのかたがたはどなたですか,Speciale,S8,Frase,Formale
Codeste persone chi sono?,Sono hitobito wa dare desu ka,そのひとびとはだれですか,Speciale,S8,Frase,Informale
Bambino/a,Kodomo,こども,Speciale,S8,Soggetto,
Ragazzo/a,Kodomo,こども,Speciale,S8,Soggetto,
Bambini/e,Kodomotachi,こどもたち,Speciale,S8,Soggetto,
Ragazzi/e,Kodomotachi,こどもたち,Speciale,S8,Soggetto,
Bambino/Ragazzo,Otoko no ko,おとこのこ,Speciale,S8,Soggetto,
Bambina/Ragazza,Onna no ko,おんなのこ,Speciale,S8,Soggetto,
Bambini/Ragazzi,Otoko no kotachi,おとこのこたち,Speciale,S8,Soggetto,
Bambine/Ragazze,Onna no kotachi,おんなのこたち,Speciale,S8,Soggetto,
"Codesto bambino chi è?
È Hiro.","Sono kodomo wa dare desu ka.
Hiro chan desu.","そのこどもはだれですか。
ひろちゃんです。",Speciale,S8,Frase,Informale
Animale,Doubutsu,どうぶつ,Speciale,S8,Soggetto,
Questo che animale è?,Kono doubutsu wa nan desu ka,このどうぶつはなんですか,Speciale,S8,Frase,
Questo che insetto è?,Kono mushi wa nan desu ka,このむしはなんですか,Speciale,S8,Frase,
Questo che pesce è?,Kono sakana wa nan desu ka,このさかなはなんですか,Speciale,S8,Frase,
"Questo che animale è?
Questo animale è un cavallo.","Kono doubutsu wa nan desu ka.
Kono doubutsu wa uma desu.","このどうぶつはなんですか。
このどうぶつはうまです。",Speciale,S8,Frase,
"Codesto che animale è?
È una tigre.","Sono doubutsu wa nan desu ka.
Tora desu.","そのどうぶつはなんですか。
とらです。",Speciale,S8,Frase,
"Quello che animale è?
È un cervo.","Ano doubutsu wa nan desu ka.
Shika desu.","あのどうぶつはなんですか。
しかです。",Speciale,S8,Frase,
"Questo che insetto è?
Questo insetto è una formica.","Kono mushi wa nan desu ka.
Kono mushi wa ari desu.","このもしはなんですか。
このもしはありです。",Speciale,S8,Frase,
"Questo che insetto è?
È un'ape.","Sono mushi wa nan desu ka.
Hachi desu.","そのもしはなんですか。
はちです。",Speciale,S8,Frase,
"Questo che pesce è?
Questo pesce è una carpa.","Kono sakana wa nan desu ka.
Kono sakana wa koi desu.","このさかなはなんですか。
このさかなはこいです。",Speciale,S8,Frase,
Nuovo,Atarashii,あたらしい,Speciale,S10,Aggettivo,
Questo libro non è interessante,Kono hon wa omoshiroku arimasen,このほんはおもしろくありません,Speciale,S10,Frase,
Codesto libro è nuovo,Sono hon wa atarashii desu,そのほんはあたらしいです,Speciale,S10,Frase,
Codesto libro non è nuovo,Sono hon wa atarashiku arimasen,そのほんはあたらしくありません,Speciale,S10,Frase,
Quella montagna è alta,Ano yama wa takai desu,あのやまはたかいです,Speciale,S10,Frase,
Quella montagna non è alta,Ano yama wa takaku arimasen,あのやまはたかくありません,Speciale,S10,Frase,
Tranquillo,Shizukana,しずかな,Speciale,S10,Aggettivo,
Gentile,Shinsetsuna,しんせつな,Speciale,S10,Aggettivo,
Questo bambino è tranquillo,Kono kodomo wa shizuka desu,このこどもはしずかです,Speciale,S10,Frase,
Questo bambino non è tranquillo,Kono kodomo wa shizuka dewa arimasen,このこどもはしずかではありません,Speciale,S10,Frase,
Akira è gentile,Akira san wa shinsetsu desu,あきらさんはしんせつです,Speciale,S10,Frase,
Akira non è gentile,Akira san wa shinsetsu dewa arimasen,あきらさんはしんせつではありません,Speciale,S10,Frase,
Domani,Ashita,あした,Speciale,S10,Avverbio,
Il cielo è blu,Sora wa aoi desu,そらはあおいです,Speciale,S10,Frase,
Il cielo non è blu,Sora wa aoku arimasen,そらはあおくありません,Speciale,S10,Frase,
Domani il cielo è blu,Ashita sora wa aoi desu,あしたそらはあおいです,Speciale,S10,Frase,
Domani il cielo non è blu,Ashita sora wa aoku arimasen,あしたそらはあおくありません,Speciale,S10,Frase,
Il cielo sarà blu,Sora wa aoi deshou,そらはあおいでしょう,Speciale,S10,Frase,
Il cielo non sarà blu,Sora wa aoku naideshou,そらはあおくないでしょう,Speciale,S10,Frase,
Semplice,Kantanna,かんたんな,Speciale,S10,Aggettivo,
Questo libro è semplice,Kono hon wa kantan desu,このほんはかんたんです,Speciale,S10,Frase,
Questo libro non è semplice,Kono hon wa kantan dewa arimasen,このほんはかんたんではありません,Speciale,S10,Frase,
Questo libro sarà semplice,Kono hon wa kantan deshou,このほんはかんたんでしょう,Speciale,S10,Frase,
Questo libro non sarà semplice,Kono hon wa kantan dewa naideshou,このほんはかんたんではないでしょう,Speciale,S10,Frase,
È interessante,Omoshiroi desu,おもしろいです,Speciale,S10,Tempi verbali,Formale
Non è interessante,Omoshiroku arimasen,おもしろくありません,Speciale,S10,Tempi verbali,Formale
Sarà interessante,Omoshiroi deshou,おもしろいでしょう,Speciale,S10,Tempi verbali,Formale
Non sarà interessante,Omoshiroku naideshou,おもしろくないでしょう,Speciale,S10,Tempi verbali,Formale
Non è interessante,Omoshiroku nai,おもしろくない,Speciale,S10,Tempi verbali,Informale
Sarà interessante,Omoshiroi darou,おもしろいだろう,Speciale,S10,Tempi verbali,Informale
Non sarà interessante,Omoshiroku naidarou,おもしろくないだろう,Speciale,S10,Tempi verbali,Informale
Importante,Taisetsuna,たいせつな,Speciale,S10,Aggettivo,
È importante,Taisetsu desu,たいせつです,Speciale,S10,Tempi verbali,Formale
Non è importente,Taisetsu dewa arimasen,たいせつではありません,Speciale,S10,Tempi verbali,Formale
Sarà importente,Taisetsu deshou,たいせつでしょう,Speciale,S10,Tempi verbali,Formale
Non sarà importante,Taisetsu dewa naideshou,たいせつではないでしょう,Speciale,S10,Tempi verbali,Formale
È importante,Taisetsu da,たいせつだ,Speciale,S10,Tempi verbali,Informale
Non è importente,Taisetsu dewa nai,たいせつではない,Speciale,S10,Tempi verbali,Informale
Sarà importente,Taisetsu darou,たいせつだろう,Speciale,S10,Tempi verbali,Informale
Non sarà importante,Taisetsu dewa naidarou,たいせつではないでろう,Speciale,S10,Tempi verbali,Informale
Questo libro era interessante,Kono hon wa omoshirokatta desu,このほんはおもしろかったです,Speciale,S11,Frase,
Codesto libro era nuovo,Sono hon wa atarashikatta desu,そのほんはあたらしかったです,Speciale,S11,Frase,
Codesto bambino era tranquillo,Sono kodomo wa shizuka deshita,そのこどもはしぶかでした,Speciale,S11,Frase,
Quei bambini erano gentili,Ano kodomotachi wa shinsetsu deshita,あのこどもたちはしんせつでした,Speciale,S11,Frase,
Questo libro non era interessante,Kono hon wa omoshiroku arimasen deshita,このほんはおもしろくありませんでした,Speciale,S11,Frase,
Codesto bambino non era gentile,Sono kodomo wa shinsetsu dewa arimasen deshita,そのこどもはしんせつではありませんでした,Speciale,S11,Frase,
Questo libro forse era interessante,Kono hon wa omoshirokatta deshou,このほんはおもしろかったでしょう,Speciale,S11,Frase,
Codesto libro forse era nuovo,Kono hon wa atarashikatta deshou,このほんはあたらしかったでしょう,Speciale,S11,Frase,
Codesto bambino forse era tranquillo,Sono kodomo wa shizuka datta deshou,そのこどもはしぶかなだったでしょう,Speciale,S11,Frase,
Quei bambini forse erano gentili,Ano kodomotachi wa shinsetsu datta deshou,あのこどもたちはしんせつだったでしょう,Speciale,S11,Frase,
Questo libro forse non era interessante,Kono hon wa omoshiroku nakatta deshou,このほんはおもしろくなかったでしょう,Speciale,S11,Frase,
Codesto bambino forse non era gentile,Kono kodomo wa shinsetsu dewa nakatta deshou,このこどもはしんせつではなかったでしょう,Speciale,S11,Frase,
Il cielo era blu,Sora wa aokatta desu,そらはあおかったでしょう,Speciale,S11,Frase,
Il cielo non era blu,Sora wa aoku arimasen deshita,そらはあおくありませんでした,Speciale,S11,Frase,
Il cielo forse era blu,Sora wa aokatta deshou,そらはあおかったでしょう,Speciale,S11,Frase,
Il cielo forse non era blu,Sora wa aoku nakatta deshou,そらはあおくなかったでしょう,Speciale,S11,Frase,
Akira era gentile,Akira san wa shinsetsu deshita,あきらさんはしんせつでした,Speciale,S11,Frase,
Akira non era gentile,Akira san wa shinsetsu dewa arimasen deshita,あきらさんはしんせつではありませんでした,Speciale,S11,Frase,
Akira forse era gentile,Akira san wa shinsetsu datta deshou,あきらさんはしんせつだったでしょう,Speciale,S11,Frase,
Akira forse non era gentile,Akira san wa shinsetsu dewa nakatta deshou,あきらさんはしんせつではなかったでしょう,Speciale,S11,Frase,
Era interessante,Omoshirokatta desu,おもしろかったです,Speciale,S11,Tempi verbali,Formale
Non era interessante,Omoshiroku arimasen deshita,おもしろくありませんでした,Speciale,S11,Tempi verbali,Formale
Forse era interessante,Omoshirokatta deshou,おもしろかったでしょう,Speciale,S11,Tempi verbali,Formale
Forse non era interessante,Omoshiroku nakatta deshou,おもしろくなかったでしょう,Speciale,S11,Tempi verbali,Formale
Era interessante,Omoshirokatta,おもしろかった,Speciale,S11,Tempi verbali,Informale
Non era interessante,Omoshiroku nakatta,おもしろくなかった,Speciale,S11,Tempi verbali,Informale
Forse era interessante,Omoshirokatta darou,おもしろかっただろう,Speciale,S11,Tempi verbali,Informale
Forse non era interessante,Omoshiroku nakatta darou,おもしろくなかっただろう,Speciale,S11,Tempi verbali,Informale
Era importante,Taisetsu deshita,たいせつでした,Speciale,S11,Tempi verbali,Formale
Non era importante,Taisetsu dewa arimasen deshita,たいせつではありませんでした,Speciale,S11,Tempi verbali,Formale
Forse era importante,Taisetsu datta deshou,たいせつだったでしょう,Speciale,S11,Tempi verbali,Formale
Forse non era importante,Taisetsu dewa nakata deshou,たいせつではなかったでしょう,Speciale,S11,Tempi verbali,Formale
Era importante,Taisetsu datta,たいせつだった,Speciale,S11,Tempi verbali,Informale
Non era importante,Taisetsu dewa nakatta,たいせつではなかった,Speciale,S11,Tempi verbali,Informale
Forse era importante,Taisetsu datta darou,たいせつだっただろう,Speciale,S11,Tempi verbali,Informale
Forse non era importante,Taisetsu dewa nakatta darou,たいせつではなかっただろう,Speciale,S11,Tempi verbali,Informale